epoch,train_total,train_pos,train_ori,train_trans_m,train_rot_deg,train_mae_x,train_mae_y,train_mae_z,train_mae_qx,train_mae_qy,train_mae_qz,train_mae_qw,val_total,val_pos,val_ori,val_trans_m,val_rot_deg,val_mae_x,val_mae_y,val_mae_z,val_mae_qx,val_mae_qy,val_mae_qz,val_mae_qw,lr
38,5.668377,1.131057,0.013092,0.014481,15.699373,0.007061,0.006107,0.008515,0.084364,0.049663,0.029090,0.062742,5.841554,1.165744,0.012835,0.014793,15.621609,0.007245,0.005577,0.009528,0.085509,0.047902,0.027516,0.063223,1.000000e-04
39,13.803302,2.758041,0.013095,0.020455,15.733839,0.010254,0.008489,0.012182,0.084648,0.050031,0.029550,0.062928,41.847768,8.366932,0.013109,0.041339,16.266202,0.017811,0.009399,0.034296,0.087725,0.056232,0.029695,0.064673,1.000000e-04
40,11.739554,2.345299,0.013058,0.019315,15.707550,0.009035,0.007710,0.012325,0.084510,0.049872,0.028754,0.062844,11.831164,2.363649,0.012920,0.020970,15.144400,0.008277,0.009224,0.013561,0.082875,0.045322,0.027372,0.061966,1.000000e-04
41,10.903804,2.178137,0.013121,0.018570,15.728193,0.008733,0.007618,0.011720,0.084560,0.050071,0.029408,0.062877,32.806196,6.558673,0.012829,0.037299,15.589420,0.020005,0.012223,0.026454,0.085634,0.045664,0.026979,0.063288,1.000000e-04
42,15.429481,3.083275,0.013105,0.022353,15.715323,0.012074,0.008847,0.012726,0.084557,0.049683,0.029078,0.062838,6.977701,1.392969,0.012857,0.015730,15.421927,0.008352,0.004864,0.010351,0.084453,0.046665,0.028194,0.062575,1.000000e-04
43,7.799619,1.557309,0.013075,0.016355,15.711228,0.008189,0.006614,0.009821,0.084517,0.050147,0.029377,0.062854,3.099037,0.617237,0.012851,0.010591,15.739020,0.004873,0.003986,0.006810,0.086392,0.047147,0.027798,0.063734,1.000000e-04
44,7.885750,1.574533,0.013086,0.016110,15.748938,0.007472,0.006876,0.009845,0.084710,0.050023,0.029314,0.062979,6.797650,1.356960,0.012851,0.015889,15.713559,0.004526,0.006086,0.012376,0.086339,0.046948,0.026573,0.063717,1.000000e-04
45,8.129464,1.623271,0.013109,0.017257,15.737513,0.008325,0.006804,0.010779,0.084629,0.049851,0.029548,0.062930,4.360399,0.869512,0.012837,0.013330,15.547092,0.008070,0.004850,0.006922,0.085401,0.046087,0.026762,0.063155,1.000000e-04
46,8.030630,1.603505,0.013103,0.016518,15.717538,0.008185,0.006571,0.010115,0.084605,0.049736,0.029152,0.062879,5.158805,1.029183,0.012890,0.013172,15.152827,0.007573,0.004487,0.007611,0.082759,0.045620,0.026672,0.061944,1.000000e-04
47,10.351778,2.067737,0.013091,0.018983,15.708605,0.008578,0.007738,0.012265,0.084503,0.049794,0.028922,0.062831,7.636214,1.524652,0.012954,0.015684,15.962452,0.010422,0.005139,0.008237,0.087985,0.045932,0.027653,0.064726,1.000000e-04
48,6.375607,1.272506,0.013076,0.015373,15.734783,0.007573,0.006362,0.009312,0.084689,0.049681,0.029166,0.063002,6.173012,1.232002,0.013002,0.016707,15.963726,0.009351,0.005715,0.010178,0.086436,0.054309,0.030340,0.063785,1.000000e-04
49,9.281458,1.853676,0.013078,0.017693,15.721572,0.009329,0.006605,0.010665,0.084583,0.049880,0.029150,0.062899,9.124030,1.822238,0.012839,0.015825,15.427661,0.008767,0.005238,0.010301,0.084852,0.044721,0.026077,0.062889,1.000000e-04
50,6.906841,1.378753,0.013078,0.015399,15.709358,0.007503,0.006183,0.009502,0.084530,0.049894,0.029552,0.062829,8.610067,1.719430,0.012916,0.018291,15.585730,0.005909,0.005366,0.014699,0.084532,0.052024,0.029725,0.062733,1.000000e-04
